  177/2999     3.42G   0.02297   0.06887  0.008878    0.1007        43       640    0.9918    0.9913    0.9901    0.8276   0.01488   0.04027  0.005299
  178/2999     3.42G   0.02376   0.07034  0.009309    0.1034        33       640    0.9924    0.9909    0.9908    0.8609   0.01369   0.03955  0.005308
  179/2999     3.42G   0.02216   0.07235  0.008792    0.1033        59       640    0.9941    0.9889     0.991    0.8291   0.01486   0.04089  0.004937
  180/2999     3.42G   0.02337   0.07256  0.009001    0.1049        75       640    0.9936    0.9881    0.9911    0.8555   0.01347   0.03985  0.004869
  181/2999     3.42G   0.01984   0.06422  0.009292   0.09336        41       640    0.9921    0.9896    0.9913    0.8445   0.01372   0.04083  0.004759
  182/2999     3.42G   0.02108   0.06998  0.008491   0.09955        40       640    0.9918    0.9909    0.9913    0.8608   0.01318   0.03937  0.004662
  183/2999     3.42G   0.02072   0.07148  0.008574    0.1008        60       640    0.9911    0.9918    0.9912    0.8669   0.01303   0.03907  0.004733
  184/2999     3.42G   0.02169   0.07537  0.008233    0.1053        92       640    0.9911    0.9917    0.9912    0.8613   0.01386   0.03935  0.004802
  185/2999     3.42G   0.02249   0.07002  0.009042    0.1015        36       640    0.9933    0.9875    0.9914    0.8584   0.01385   0.03878  0.004953
  186/2999     3.42G   0.02267   0.07134   0.00852    0.1025        51       640    0.9912    0.9915    0.9915    0.8725   0.01385   0.03889  0.004973
  187/2999     3.42G   0.02276   0.07226   0.00829    0.1033        36       640    0.9928    0.9893    0.9909    0.8696   0.01305   0.03887  0.004881
  188/2999     3.42G   0.02385   0.07544  0.008988    0.1083        60       640    0.9928    0.9896    0.9914     0.872   0.01404   0.03992  0.004702
  189/2999     3.42G   0.02134   0.07535  0.007936    0.1046        59       640    0.9904    0.9918    0.9917     0.866    0.0143   0.04034  0.004427
  190/2999     3.42G   0.02246   0.06715  0.007939   0.09756        24       640    0.9925    0.9886    0.9915    0.8649   0.01354   0.04025  0.004326
  191/2999     3.42G   0.02121   0.07193  0.008043    0.1012        65       640    0.9944    0.9872     0.991     0.867   0.01403   0.04011  0.004413
  192/2999     3.42G   0.02249   0.07533  0.007979    0.1058        55       640    0.9912    0.9867    0.9901    0.8746   0.01398   0.04033  0.004676
  193/2999     3.42G   0.02177   0.07501  0.007959    0.1047        51       640    0.9932    0.9915    0.9912    0.8696   0.01316   0.03983  0.004493
  194/2999     3.42G   0.02344   0.07056  0.007933    0.1019        26       640    0.9933    0.9917    0.9905    0.7957   0.01762   0.04265  0.004288
  195/2999     3.42G    0.0252   0.07881  0.007518    0.1115        77       640    0.9933    0.9921    0.9909     0.854   0.01502   0.04116  0.004285
  196/2999     3.42G   0.02162   0.06937  0.007798   0.09878        40       640    0.9919    0.9921    0.9905    0.8636   0.01306   0.03931  0.004366
  197/2999     3.42G   0.02275   0.06701  0.008514   0.09827        54       640    0.9911    0.9931    0.9902    0.8495   0.01325   0.03885  0.004403
  198/2999     3.42G   0.01979   0.06658  0.007814   0.09418        60       640    0.9922    0.9932    0.9901    0.8772   0.01194   0.03706  0.004499
  199/2999     3.42G   0.02091   0.06545  0.008642     0.095        34       640    0.9941    0.9919    0.9902    0.8711   0.01307   0.03771  0.004548
  200/2999     3.42G   0.02226   0.07052  0.007169   0.09994        47       640    0.9897    0.9908    0.9901    0.8634   0.01396   0.03778  0.004698
